agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
76,v,220,20,,83629534.0,6,9,"LINESTRING(-109.5574885 37.2837023,-109.571338 37.282287)",0726
77,v,192,189,,,6,9,"LINESTRING(-109.5595412 37.2848753,-109.577207 37.278781)",0728
78,v,218,166,,,6,9,"LINESTRING(-109.5657039 37.2839058,-109.571447 37.2801683)",0738
79,v,152,20,,83629534.0,6,9,"LINESTRING(-109.5574927 37.28401,-109.571338 37.282287)",0712
80,v,23,166,83651071.0,,6,9,"LINESTRING(-109.5591938 37.2857107,-109.571447 37.2801683)",0708
81,v,168,79,,1030019391.0,6,9,"LINESTRING(-109.5580456 37.2839477,-109.5779966 37.2831107)",0711
82,v,164,54,,83737769.0,6,9,"LINESTRING(-109.5583507 37.2871624,-109.571271 37.2813213)",0751
83,v,164,79,,1030019391.0,6,9,"LINESTRING(-109.5583507 37.2871624,-109.5779966 37.2831107)",0743
84,v,207,71,,83771332.0,6,9,"LINESTRING(-109.5692496 37.2838117,-109.5722736 37.2803191)",0709
85,v,222,79,,1030019391.0,6,9,"LINESTRING(-109.5579112 37.2852333,-109.5779966 37.2831107)",0755
86,v,218,71,,83771332.0,6,9,"LINESTRING(-109.5657039 37.2839058,-109.5722736 37.2803191)",0703
87,v,202,55,,83737775.0,6,9,"LINESTRING(-109.5573064 37.2837054,-109.5697171 37.2814331)",0728
88,v,250,71,,83771332.0,6,9,"LINESTRING(-109.5594386 37.2851491,-109.5722736 37.2803191)",0723
89,v,81,170,1030045659.0,,6,9,"LINESTRING(-109.5652556 37.2883349,-109.5766547 37.2793442)",0720
90,v,181,243,,,6,10,"LINESTRING(-109.5606232 37.2865589,-109.5593795 37.2823991)",0739
91,v,222,45,,83726606.0,6,10,"LINESTRING(-109.5579112 37.2852333,-109.5664269 37.2783889)",0738
92,v,222,193,,,6,10,"LINESTRING(-109.5579112 37.2852333,-109.5596213 37.2834062)",0715
93,v,192,160,,,6,10,"LINESTRING(-109.5595412 37.2848753,-109.567071 37.282368)",0738
