name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
,43,10144893,99,115,1,203.44870415100974,1,29,,service,7,"LINESTRING (-109.5591237 37.2843411, -109.5598922 37.2843199, -109.5599888 37.2843199, -109.5600612 37.2843412, -109.5601444 37.2843882, -109.5602812 37.2844863, -109.5604984 37.2846827, -109.5605682 37.284751, -109.5606138 37.2848107, -109.5606379 37.2848747, -109.5606486 37.2849622, -109.5606433 37.2850305, -109.5606272 37.2850881, -109.5605789 37.2852333)",bike;walk,1,0
,44,10144893,115,99,1,203.44870415100974,1,29,,service,7,"LINESTRING (-109.5605789 37.2852333, -109.5606272 37.2850881, -109.5606433 37.2850305, -109.5606486 37.2849622, -109.5606379 37.2848747, -109.5606138 37.2848107, -109.5605682 37.284751, -109.5604984 37.2846827, -109.5602812 37.2844863, -109.5601444 37.2843882, -109.5600612 37.2843412, -109.5599888 37.2843199, -109.5598922 37.2843199, -109.5591237 37.2843411)",bike;walk,1,0
,45,10149278,30,31,1,78.88407071711383,1,29,,residential,6,"LINESTRING (-109.5678566 37.2783093, -109.5679571 37.2790142)",auto;bike;walk,1,0
,46,10149278,31,30,1,78.88407071711383,1,29,,residential,6,"LINESTRING (-109.5679571 37.2790142, -109.5678566 37.2783093)",auto;bike;walk,1,0
400 South,47,10149281,32,30,1,205.95634490293062,1,29,,residential,6,"LINESTRING (-109.5694176 37.2789758, -109.5693264 37.2783846, -109.569309 37.2783473, -109.5692902 37.2783142, -109.569258 37.2782736, -109.5692137 37.2782406, -109.5691883 37.2782331, -109.5691574 37.278232, -109.5690783 37.2782395, -109.5678566 37.2783093)",auto;bike;walk,1,0
400 South,48,10149281,30,32,1,205.95634490293065,1,29,,residential,6,"LINESTRING (-109.5678566 37.2783093, -109.5690783 37.2782395, -109.5691574 37.278232, -109.5691883 37.2782331, -109.5692137 37.2782406, -109.569258 37.2782736, -109.5692902 37.2783142, -109.569309 37.2783473, -109.5693264 37.2783846, -109.5694176 37.2789758)",auto;bike;walk,1,0
400 South,49,10149281,30,45,1,126.80638120286363,1,29,,residential,6,"LINESTRING (-109.5678566 37.2783093, -109.5664269 37.2783889)",auto;bike;walk,1,0
400 South,50,10149281,45,30,1,126.80638120286363,1,29,,residential,6,"LINESTRING (-109.5664269 37.2783889, -109.5678566 37.2783093)",auto;bike;walk,1,0
,51,10149629,36,33,1,83.60180202228585,1,29,,service,7,"LINESTRING (-109.5570522 37.2838585, -109.5572536 37.2838988, -109.5576575 37.2839004, -109.5576509 37.2836352)",bike;walk,1,0
,52,10149629,33,36,1,83.60180202228584,1,29,,service,7,"LINESTRING (-109.5576509 37.2836352, -109.5576575 37.2839004, -109.5572536 37.2838988, -109.5570522 37.2838585)",bike;walk,1,0
Sagebrush Avenue,53,10150957,32,31,1,129.72199794817993,1,29,,residential,6,"LINESTRING (-109.5694176 37.2789758, -109.5692955 37.2789555, -109.5691507 37.2789491, -109.5679571 37.2790142)",auto;bike;walk,1,0
Sagebrush Avenue,54,10150957,31,32,1,129.72199794817993,1,29,,residential,6,"LINESTRING (-109.5679571 37.2790142, -109.5691507 37.2789491, -109.5692955 37.2789555, -109.5694176 37.2789758)",auto;bike;walk,1,0
Sagebrush Avenue,55,10150957,31,41,1,130.1867463255752,1,29,,residential,6,"LINESTRING (-109.5679571 37.2790142, -109.56649 37.2791038)",auto;bike;walk,1,0
Sagebrush Avenue,56,10150957,41,31,1,130.1867463255752,1,29,,residential,6,"LINESTRING (-109.56649 37.2791038, -109.5679571 37.2790142)",auto;bike;walk,1,0
Navajo Twins Drive,57,10151494,44,84,1,413.8905444156376,1,29,,residential,6,"LINESTRING (-109.549743 37.2867422, -109.5498031 37.2868483, -109.5500929 37.2870668, -109.5502376 37.287141, -109.5503883 37.2871735, -109.5505362 37.2871863, -109.5510604 37.2871926, -109.5512374 37.2872031, -109.5514302 37.2872477, -109.5515927 37.2873086, -109.5522739 37.2876982, -109.5524125 37.2878115, -109.5526802 37.2881135, -109.5529536 37.2884048, -109.5532679 37.288825)",auto;bike;walk,1,0
Navajo Twins Drive,58,10151494,84,44,1,413.8905444156375,1,29,,residential,6,"LINESTRING (-109.5532679 37.288825, -109.5529536 37.2884048, -109.5526802 37.2881135, -109.5524125 37.2878115, -109.5522739 37.2876982, -109.5515927 37.2873086, -109.5514302 37.2872477, -109.5512374 37.2872031, -109.5510604 37.2871926, -109.5505362 37.2871863, -109.5503883 37.2871735, -109.5502376 37.287141, -109.5500929 37.2870668, -109.5498031 37.2868483, -109.549743 37.2867422)",auto;bike;walk,1,0
