agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
683,v,157,2747,863736888.0,,17,15,"LINESTRING(-111.9418304 33.4176181,-111.9306996 33.4199612)",0706
684,v,2384,1961,7237092630.0,5646687275.0,17,16,"LINESTRING(-111.9399592 33.4174561,-111.9194821 33.4184078)",0759
685,v,268,1960,2065989263.0,5646687274.0,17,16,"LINESTRING(-111.9397819 33.4174542,-111.9205576 33.4185739)",0744
686,v,53,2108,41662598.0,5686916242.0,17,16,"LINESTRING(-111.9399894 33.4162047,-111.9191918 33.4184073)",0711
687,v,2130,2630,5707473160.0,,17,18,"LINESTRING(-111.9442404 33.4162081,-111.9343609 33.4176835)",0725
688,v,2358,2961,7121998412.0,,17,18,"LINESTRING(-111.9424522 33.4157881,-111.9333237 33.4167592)",0747
689,v,2356,2699,7121998409.0,,17,18,"LINESTRING(-111.9424525 33.4159781,-111.9325418 33.415558)",0710
690,v,2380,1179,7237092625.0,5264819387.0,17,18,"LINESTRING(-111.9398726 33.4174547,-111.9348464 33.4160975)",0731
691,v,2296,93,6892811494.0,316872733.0,17,18,"LINESTRING(-111.9424497 33.4169032,-111.9337028 33.4173518)",0705
692,v,2296,2648,6892811494.0,,17,18,"LINESTRING(-111.9424497 33.4169032,-111.932391 33.4178427)",0703
693,v,2384,2438,7237092630.0,7998670443.0,17,18,"LINESTRING(-111.9399592 33.4174561,-111.9321368 33.4173666)",0745
694,v,2434,735,7978107675.0,5260200663.0,17,18,"LINESTRING(-111.9424528 33.4161632,-111.9339404 33.4160921)",0742
695,v,550,3106,4181518769.0,,17,19,"LINESTRING(-111.9448138 33.4168241,-111.9250724 33.4162701)",0727
696,v,268,2651,2065989263.0,,17,19,"LINESTRING(-111.9397819 33.4174542,-111.9297223 33.4170885)",0712
697,v,2298,34,6892811496.0,41573980.0,17,19,"LINESTRING(-111.9424524 33.4177004,-111.9263074 33.4168484)",0747
698,v,351,3036,2625359002.0,,17,19,"LINESTRING(-111.9398439 33.4174549,-111.9256663 33.4167135)",0709
699,v,1505,281,5333540007.0,2300341839.0,17,19,"LINESTRING(-111.938222 33.4176349,-111.9264694 33.4168418)",0728
700,v,2356,1953,7121998409.0,5646687263.0,17,20,"LINESTRING(-111.9424525 33.4159781,-111.9205773 33.4173248)",0702
701,v,1506,3100,5333540008.0,,17,20,"LINESTRING(-111.9382156 33.4174665,-111.9228429 33.4162795)",0738
702,v,53,2414,41662598.0,7370561054.0,17,20,"LINESTRING(-111.9399894 33.4162047,-111.9185004 33.4166793)",0708
703,v,2296,2414,6892811494.0,7370561054.0,17,20,"LINESTRING(-111.9424497 33.4169032,-111.9185004 33.4166793)",0709
704,v,2296,2866,6892811494.0,,17,20,"LINESTRING(-111.9424497 33.4169032,-111.9192531 33.4152632)",0702
705,v,2130,2869,5707473160.0,,17,20,"LINESTRING(-111.9442404 33.4162081,-111.9180454 33.4151142)",0717
706,v,25,2596,41563460.0,,17,23,"LINESTRING(-111.9424525 33.4176183,-111.945 33.4226589)",0752
707,v,550,2173,4181518769.0,5938023074.0,17,26,"LINESTRING(-111.9448138 33.4168241,-111.9386591 33.4301382)",0704
708,v,2358,1705,7121998412.0,5402920871.0,17,27,"LINESTRING(-111.9424522 33.4157881,-111.934716 33.4232953)",0741
709,v,550,938,4181518769.0,5261576410.0,17,28,"LINESTRING(-111.9448138 33.4168241,-111.9292269 33.4243584)",0707
710,v,352,2582,2625359004.0,,17,30,"LINESTRING(-111.9398468 33.4176189,-111.9180917 33.4302)",0744
711,v,2752,2560,,,17,32,"LINESTRING(-111.938774 33.4162649,-111.9178 33.4228929)",0716
712,v,2296,645,6892811494.0,4716102664.0,17,36,"LINESTRING(-111.9424497 33.4169032,-111.9277208 33.418371)",0742
713,v,2617,90,,316870721.0,17,37,"LINESTRING(-111.9390415 33.4180478,-111.9377474 33.4160169)",0719
714,v,2130,2494,5707473160.0,,17,38,"LINESTRING(-111.9442404 33.4162081,-111.9405623 33.415)",0743
715,v,2609,3042,,,18,1,"LINESTRING(-111.9344966 33.4165642,-111.9445403 33.4297769)",0726
716,v,178,2930,863737649.0,,18,1,"LINESTRING(-111.9366113 33.4150834,-111.9392637 33.4288908)",0703
717,v,418,2868,2819203907.0,,18,1,"LINESTRING(-111.9367114 33.41621,-111.9395159 33.430268)",0750
718,v,2438,358,7998670443.0,2625359017.0,18,5,"LINESTRING(-111.9321368 33.4173666,-111.9399641 33.4264662)",0716
719,v,2701,358,,2625359017.0,18,5,"LINESTRING(-111.9361294 33.4154285,-111.9399641 33.4264662)",0732
720,v,2830,41,,41630200.0,18,5,"LINESTRING(-111.9340229 33.4152849,-111.9400776 33.4264624)",0719
