activity_zone_id,grid_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,zone_type
211,186.0,K11,-111.93052433333332,33.42253016666667,"POLYGON ((-111.93128680000005 33.42198000000002,-111.93128680000005 33.42278000000002,-111.92991680000006 33.42278000000002,-111.92991680000006 33.42198000000002,-111.93128680000005 33.42198000000002))",POINT (-111.93052433333332 33.42253016666667),3,0,0,0,0,2,0,demand_zone
212,187.0,K12,-111.9294895,33.4223492,"POLYGON ((-111.92991680000006 33.42198000000002,-111.92991680000006 33.42278000000002,-111.92854680000006 33.42278000000002,-111.92854680000006 33.42198000000002,-111.92991680000006 33.42198000000002))",POINT (-111.9294895 33.4223492),1,0,0,0,0,1,0,demand_zone
214,188.0,K14,-111.925861,33.422741,"POLYGON ((-111.92717680000007 33.42198000000002,-111.92717680000007 33.42278000000002,-111.92580680000007 33.42278000000002,-111.92580680000007 33.42198000000002,-111.92717680000007 33.42198000000002))",POINT (-111.925861 33.422741),1,0,0,0,0,0,0,demand_zone
215,189.0,K15,-111.9252258,33.4223816,"POLYGON ((-111.92580680000007 33.42198000000002,-111.92580680000007 33.42278000000002,-111.92443680000008 33.42278000000002,-111.92443680000008 33.42198000000002,-111.92580680000007 33.42198000000002))",POINT (-111.9252258 33.4223816),1,0,0,0,0,0,0,demand_zone
216,190.0,K16,-111.92413963333333,33.42253983333333,"POLYGON ((-111.92443680000008 33.42198000000002,-111.92443680000008 33.42278000000002,-111.92306680000009 33.42278000000002,-111.92306680000009 33.42198000000002,-111.92443680000008 33.42198000000002))",POINT (-111.92413963333333 33.42253983333333),3,0,0,0,0,1,0,demand_zone
218,191.0,K18,-111.9210479,33.422491900000004,"POLYGON ((-111.92169680000009 33.42198000000002,-111.92169680000009 33.42278000000002,-111.9203268000001 33.42278000000002,-111.9203268000001 33.42198000000002,-111.92169680000009 33.42198000000002))",POINT (-111.9210479 33.422491900000004),3,0,0,0,0,0,0,demand_zone
219,192.0,K19,-111.92010450000001,33.42250855,"POLYGON ((-111.9203268000001 33.42198000000002,-111.9203268000001 33.42278000000002,-111.9189568000001 33.42278000000002,-111.9189568000001 33.42198000000002,-111.9203268000001 33.42198000000002))",POINT (-111.92010450000001 33.42250855),2,0,0,0,0,0,0,demand_zone
221,193.0,L1,-111.9441244,33.42173423333333,"POLYGON ((-111.9449868 33.42118000000002,-111.9449868 33.42198000000002,-111.9436168 33.42198000000002,-111.9436168 33.42118000000002,-111.9449868 33.42118000000002))",POINT (-111.9441244 33.42173423333333),1,0,0,1,0,0,0,demand_zone
222,194.0,L2,-111.94258800000003,33.42140926,"POLYGON ((-111.9436168 33.42118000000002,-111.9436168 33.42198000000002,-111.9422468 33.42198000000002,-111.9422468 33.42118000000002,-111.9436168 33.42118000000002))",POINT (-111.94258800000003 33.42140926),2,0,0,2,0,0,0,demand_zone
224,195.0,L4,-111.9403965,33.421484666666665,"POLYGON ((-111.94087680000001 33.42118000000002,-111.94087680000001 33.42198000000002,-111.93950680000002 33.42198000000002,-111.93950680000002 33.42118000000002,-111.94087680000001 33.42118000000002))",POINT (-111.9403965 33.421484666666665),2,0,0,0,0,0,0,demand_zone
226,196.0,L6,-111.937631425,33.421495425,"POLYGON ((-111.93813680000002 33.42118000000002,-111.93813680000002 33.42198000000002,-111.93676680000003 33.42198000000002,-111.93676680000003 33.42118000000002,-111.93813680000002 33.42118000000002))",POINT (-111.937631425 33.421495425),3,0,0,0,0,0,0,demand_zone
227,197.0,L7,-111.9364354375,33.421541087499996,"POLYGON ((-111.93676680000003 33.42118000000002,-111.93676680000003 33.42198000000002,-111.93539680000004 33.42198000000002,-111.93539680000004 33.42118000000002,-111.93676680000003 33.42118000000002))",POINT (-111.9364354375 33.421541087499996),3,0,0,0,0,1,0,demand_zone
228,198.0,L8,-111.9353223,33.4215124,"POLYGON ((-111.93539680000004 33.42118000000002,-111.93539680000004 33.42198000000002,-111.93402680000004 33.42198000000002,-111.93402680000004 33.42118000000002,-111.93539680000004 33.42118000000002))",POINT (-111.9353223 33.4215124),1,0,0,0,1,0,0,demand_zone
229,199.0,L9,-111.93322565,33.421396349999995,"POLYGON ((-111.93402680000004 33.42118000000002,-111.93402680000004 33.42198000000002,-111.93265680000005 33.42198000000002,-111.93265680000005 33.42118000000002,-111.93402680000004 33.42118000000002))",POINT (-111.93322565 33.421396349999995),2,0,0,0,0,1,0,demand_zone
