name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,3438,546387757,1367,1368,1,103.88023067843147,1,4,,footway,9,"LINESTRING (-111.9303328 33.4230373, -111.9301614 33.422997, -111.9300143 33.4229452, -111.9298429 33.4228598, -111.9297038 33.4227811, -111.929667 33.4227504, -111.9296072 33.4226832, -111.9295348 33.422617, -111.9294139 33.4225371)",walk,0
,3439,546387757,1368,1369,1,18.62880989822457,1,4,,footway,9,"LINESTRING (-111.9294139 33.4225371, -111.9292572 33.4224324)",walk,0
,3440,546387757,1369,1370,1,34.67233911247491,1,4,,footway,9,"LINESTRING (-111.9292572 33.4224324, -111.9291243 33.4223128, -111.9290841 33.4222216, -111.9290898 33.4221703)",walk,0
,3441,546387758,1366,1371,1,158.72263297073926,1,4,,footway,9,"LINESTRING (-111.9302747 33.4234263, -111.930227 33.4236907, -111.9302046 33.4237654, -111.9301562 33.4238478, -111.9300723 33.4238913, -111.9297631 33.4239955, -111.9296313 33.4240415, -111.9294837 33.4240903, -111.9290627 33.4242318)",walk,0
,3442,546387758,1371,1372,1,146.27255468888126,1,4,,footway,9,"LINESTRING (-111.9290627 33.4242318, -111.9287554 33.4243126, -111.9286661 33.4243338, -111.9284592 33.4243686, -111.928014 33.4244199, -111.9278053 33.4244308, -111.9276284 33.4244323, -111.9275138 33.4244324)",walk,0
,3443,546387758,1372,1353,1,97.47535335497993,1,4,,footway,9,"LINESTRING (-111.9275138 33.4244324, -111.9265051 33.4244386, -111.9264696 33.4244205)",walk,0
,3444,546387759,1246,1373,1,3.6347797545316594,1,4,,footway,9,"LINESTRING (-111.9291492 33.4249027, -111.9291221 33.4249263)",walk,0
,3445,546387760,1352,1374,1,110.0920746797527,1,4,,footway,9,"LINESTRING (-111.9261301 33.4244197, -111.9261359 33.4241646, -111.9261072 33.4237689, -111.9261096 33.4235215, -111.9261044 33.4234305)",walk,0
,3446,546387760,1374,1375,1,10.096499339495967,1,4,,footway,9,"LINESTRING (-111.9261044 33.4234305, -111.9261044 33.4233397)",walk,0
,3447,546387760,1375,1376,1,9.780394295329634,1,4,,footway,9,"LINESTRING (-111.9261044 33.4233397, -111.9261082 33.4232518)",walk,0
,3448,546387760,1376,1356,1,120.182024948731,1,4,,footway,9,"LINESTRING (-111.9261082 33.4232518, -111.9261113 33.4230321, -111.9261165 33.4226568, -111.9261459 33.4223638, -111.9261511 33.4222165, -111.9261162 33.422183)",walk,0
,3449,546387761,1252,1377,1,13.572801797324843,1,4,,footway,9,"LINESTRING (-111.9291647 33.4285766, -111.9293051 33.4285424)",walk,0
,3450,546387761,1377,1378,1,9.536072124829863,1,4,,footway,9,"LINESTRING (-111.9293051 33.4285424, -111.9294061 33.4285266)",walk,0
,3451,546387762,1254,1379,1,178.01905927161826,1,4,,footway,9,"LINESTRING (-111.9294766 33.4285753, -111.9298141 33.4285877, -111.9300998 33.4286214, -111.9304879 33.4286913, -111.930817 33.4287743, -111.9310793 33.4288546, -111.9311492 33.4288637, -111.9312845 33.428888, -111.9313424 33.4289078)",walk,0
,3452,546387762,1379,1380,1,271.05115672020713,1,4,,footway,9,"LINESTRING (-111.9313424 33.4289078, -111.9314426 33.428942, -111.931453 33.4289922, -111.9318521 33.4291457, -111.9320882 33.4292053, -111.932198 33.4292213, -111.9324777 33.4292453, -111.9328062 33.4292446, -111.9332959 33.4292395, -111.9334614 33.4292504, -111.9336775 33.4292882, -111.9338884 33.4293798, -111.9339755 33.4293529, -111.9341052 33.42939)",walk,0
,3453,546387762,1380,1381,1,73.49833572068837,1,4,,footway,9,"LINESTRING (-111.9341052 33.42939, -111.9342299 33.4294198, -111.9342665 33.4294969, -111.934426 33.4295783, -111.9347135 33.4297805)",walk,0
,3454,546387763,1381,2538,1,78.27912167702993,1,4,,footway,9,"LINESTRING (-111.9347135 33.4297805, -111.9348632 33.4299084, -111.9351281 33.4300706, -111.9353858 33.4302)",walk,0
,3455,546387763,2539,260,1,155.91936077490044,1,4,,footway,9,"LINESTRING (-111.937667 33.4302, -111.9378959 33.4300934, -111.9381002 33.4299887, -111.9385021 33.4297497, -111.9387251 33.42966, -111.9389721 33.4296037, -111.9390698 33.4295647, -111.9391424 33.429559)",walk,0
,3456,546387764,1346,440,1,11.19655473863135,1,4,,footway,9,"LINESTRING (-111.9264714 33.4286925, -111.9264921 33.4287917)",walk,0
,3457,546387764,440,1382,1,13.26704626152997,1,4,,footway,9,"LINESTRING (-111.9264921 33.4287917, -111.9265064 33.4288448, -111.9265235 33.4289081)",walk,0
,3458,546387764,1382,1383,1,9.40796348885653,1,4,,footway,9,"LINESTRING (-111.9265235 33.4289081, -111.926548 33.4289902)",walk,0
,3459,546387764,1383,442,1,4.633546585803839,1,4,,footway,9,"LINESTRING (-111.926548 33.4289902, -111.9265353 33.4290305)",walk,0
