name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,8360,701439075,,house,,,"POLYGON ((-76.3931297 36.8117013, -76.39321099999999 36.8117508, -76.39325359999999 36.8117052, -76.3933363 36.8117553, -76.39319829999999 36.8119023, -76.39311360000001 36.8118513, -76.39315449999999 36.8118034, -76.3930783 36.8117561, -76.3931297 36.8117013))",POINT (-76.3932034 36.8117906),260.7,2806.1514412799997,1803
,163,701439194,,house,,,"POLYGON ((-76.39215780000001 36.8120262, -76.3922625 36.8120602, -76.3922227 36.8121386, -76.3922369 36.8121435, -76.3922152 36.8121863, -76.3922 36.8121813, -76.39218409999999 36.8122129, -76.3920839 36.8121803, -76.39210009999999 36.8121479, -76.3920798 36.8121412, -76.3921134 36.8120745, -76.3921307 36.8120801, -76.39215780000001 36.8120262))",POINT (-76.39216930000001 36.8121202),202.8,2182.92102912,1803
,925,701439114,,house,,,"POLYGON ((-76.39234740000001 36.8116966, -76.39244770000001 36.8117253, -76.3923664 36.8119101, -76.3923193 36.8118969, -76.39232509999999 36.8118838, -76.3922716 36.8118686, -76.39234740000001 36.8116966))",POINT (-76.3923592 36.8118004),198.9,2140.9417785600003,1803
,8744,701441060,,house,,,"POLYGON ((-76.3906325 36.8115147, -76.3907348 36.8115347, -76.3907171 36.8115931, -76.3907354 36.8115965, -76.3907147 36.8116645, -76.39069809999999 36.8116615, -76.3906887 36.8116926, -76.3905803 36.8116717, -76.3905912 36.8116359, -76.3905931 36.8115928, -76.390608 36.8115956, -76.3906325 36.8115147))",POINT (-76.3906617 36.8116061),187.9,2022.53876416,1803
,8033,701440742,,garage,,,"POLYGON ((-76.3943548 36.8105016, -76.3944283 36.8105735, -76.3943524 36.8106238, -76.3942789 36.8105518, -76.3943548 36.8105016))",POINT (-76.3943536 36.8105627),90.0,968.751936,1803
,6092,701440341,,garage,,,"POLYGON ((-76.3917515 36.8090397, -76.3917659 36.8091498, -76.39170249999999 36.809155, -76.3916885 36.8090449, -76.3917515 36.8090397))",POINT (-76.3917271 36.8090974),69.9,752.3973369600001,1803
,4697,701440638,,garage,,,"POLYGON ((-76.39223320000001 36.8101379, -76.3922548 36.8101482, -76.3922853 36.8102185, -76.3922737 36.8102301, -76.39224710000001 36.8102384, -76.3922287 36.8102373, -76.3921926 36.8101594, -76.3922036 36.8101456, -76.39223320000001 36.8101379))",POINT (-76.3922389 36.8101885),58.0,624.3068032,1803
,2617,701440387,,shed,,,"POLYGON ((-76.3916177 36.8093442, -76.3916555 36.809397, -76.3916105 36.8094179, -76.3915727 36.8093651, -76.3916177 36.8093442))",POINT (-76.3916141 36.809381),31.6,340.13956864000005,1803
,10791,701440857,,shed,,,"POLYGON ((-76.391715 36.8110668, -76.391722 36.811087, -76.3916986 36.8110921, -76.3916917 36.8110719, -76.391715 36.8110668))",POINT (-76.39170679999999 36.8110795),5.1,54.89594304,1803
,7159,701441032,,house,,,"POLYGON ((-76.38701210000001 36.8114295, -76.38702499999999 36.8114066, -76.3870782 36.8113118, -76.3871618 36.8113413, -76.3872573 36.8113842, -76.3872641 36.811372, -76.38735819999999 36.8114053, -76.38732829999999 36.8114591, -76.3873124 36.8115039, -76.387288 36.8115342, -76.3871898 36.8114992, -76.3871963 36.811487, -76.38709919999999 36.8114525, -76.38701210000001 36.8114295))",POINT (-76.38718900000001 36.8114211),387.8,4174.24445312,1804
,10434,701439093,,house,,,"POLYGON ((-76.38799520000001 36.8116195, -76.3881456 36.8116692, -76.3880982 36.8117628, -76.3880034 36.8117317, -76.3879914 36.8117557, -76.3879312 36.8117359, -76.3879427 36.8117133, -76.3878764 36.8116915, -76.3879118 36.8116224, -76.3879819 36.8116456, -76.38799520000001 36.8116195))",POINT (-76.38801309999999 36.8116888),235.3,2532.74811712,1804
,7605,701439532,,house,,,"POLYGON ((-76.38622290000001 36.8135592, -76.38604309999999 36.8135763, -76.38603620000001 36.8134743, -76.38610079999999 36.8134661, -76.3860964 36.8134143, -76.38619780000001 36.8134115, -76.38622290000001 36.8135592))",POINT (-76.3861319 36.8134995),229.1,2466.01187264,1804
,1478,701440932,,house,,,"POLYGON ((-76.38929520000001 36.8110569, -76.3893731 36.811069, -76.3893692 36.8110868, -76.3894502 36.8110992, -76.3894301 36.8111821, -76.38919199999999 36.8111448, -76.3892125 36.81106, -76.3892914 36.8110724, -76.38929520000001 36.8110569))",POINT (-76.38932130000001 36.8111184),218.5,2351.9144224,1804
,5710,701439594,,house,,,"POLYGON ((-76.38624849999999 36.8138562, -76.3862668 36.8139969, -76.3861161 36.8140099, -76.386111 36.8139702, -76.3861442 36.8139675, -76.38613100000001 36.8138662, -76.38624849999999 36.8138562))",POINT (-76.3861938 36.8139358),178.3,1919.20522432,1804
,3040,701439568,,garage,,,"POLYGON ((-76.3855209 36.8136024, -76.3856035 36.8136314, -76.3855765 36.8136809, -76.38559979999999 36.8136893, -76.3855836 36.8137192, -76.3854777 36.8136822, -76.3855209 36.8136024))",POINT (-76.3855444 36.8136609),85.9,924.6199033600001,1804
,5671,701439399,,garage,,,"POLYGON ((-76.3843926 36.8128942, -76.384462 36.8129061, -76.3844441 36.8129715, -76.3843747 36.8129595, -76.3843926 36.8128942))",POINT (-76.3844184 36.8129328),47.1,506.98017984,1804
,4312,701440398,,shed,,,"POLYGON ((-76.3852605 36.809376, -76.3853225 36.8093798, -76.385318 36.8094317, -76.38525559999999 36.8094278, -76.3852605 36.809376))",POINT (-76.3852892 36.8094039),32.4,348.75069695999997,1804
,3363,701439044,,shed,,,"POLYGON ((-76.3893039 36.811299, -76.3893454 36.8113058, -76.3893362 36.8113419, -76.38929469999999 36.8113351, -76.3893039 36.811299))",POINT (-76.38932 36.8113204),15.4,165.76422016,1804
,2256,701440791,,shed,,,"POLYGON ((-76.3877116 36.8104534, -76.3877233 36.810478, -76.3876843 36.8104897, -76.3876727 36.810465, -76.3877116 36.8104534))",POINT (-76.387698 36.8104715),10.7,115.17384127999999,1804
,7410,701440795,,house,,,"POLYGON ((-76.3827003 36.8105655, -76.3828183 36.8105734, -76.3828003 36.8107542, -76.3827014 36.810748, -76.3827052 36.8107096, -76.3826861 36.8107084, -76.3827003 36.8105655))",POINT (-76.38275230000001 36.8106575),205.8,2215.21276032,1805
,6245,701440615,,house,,,"POLYGON ((-76.3834153 36.8100801, -76.3835193 36.8100869, -76.383516 36.8101811, -76.3834997 36.8102396, -76.3833994 36.8102331, -76.3834153 36.8100801))",POINT (-76.3834607 36.8101599),162.3,1746.98265792,1805
,10775,701441035,,house,,,"POLYGON ((-76.38262039999999 36.8114718, -76.3827189 36.8114783, -76.3827156 36.8115101, -76.38279199999999 36.811515, -76.3827837 36.8115951, -76.3826414 36.8115859, -76.3826452 36.8115508, -76.3826124 36.8115489, -76.38262039999999 36.8114718))",POINT (-76.3826993 36.8115367),159.1,1712.53814464,1805
,1790,701441003,,house,,,"POLYGON ((-76.38370999999999 36.8112882, -76.38382989999999 36.8112988, -76.38381099999999 36.8114383, -76.383703 36.811429, -76.3837145 36.8113459, -76.38370999999999 36.8112882))",POINT (-76.3837654 36.8113626),154.1,1658.71859264,1805
,3726,701439374,,house,,,"POLYGON ((-76.3832678 36.8125865, -76.3834339 36.8126107, -76.3834148 36.8126961, -76.3832487 36.8126719, -76.3832678 36.8125865))",POINT (-76.3833413 36.8126413),143.7,1546.77392448,1805
,10139,701439157,,house,,,"POLYGON ((-76.3836716 36.811768, -76.3837702 36.811775, -76.3837547 36.811914, -76.3836561 36.811907, -76.3836716 36.811768))",POINT (-76.3837132 36.811841),135.1,1454.20429504,1805
,11626,701438457,,house,,,"POLYGON ((-76.3794152 36.8100128, -76.3795052 36.8101068, -76.37942 36.8101596, -76.3793304 36.8100657, -76.3794152 36.8100128))",POINT (-76.3794177 36.8100862),126.2,1358.40549248,1805
,8160,701438313,,house,,,"POLYGON ((-76.3806546 36.8095797, -76.38066449999999 36.8096667, -76.38052140000001 36.809677, -76.38051179999999 36.80959, -76.3806546 36.8095797))",POINT (-76.3805881 36.8096284),124.6,1341.18323584,1805
,4349,701438403,,shed,,,"POLYGON ((-76.381912 36.8100667, -76.3819127 36.8101033, -76.3818788 36.810104, -76.3818778 36.8100675, -76.381912 36.8100667))",POINT (-76.3818953 36.8100853),12.4,133.47248896000002,1805
,10973,701440521,,shed,,,"POLYGON ((-76.3830638 36.8097836, -76.38306609999999 36.8098238, -76.38303569999999 36.8098249, -76.383033 36.8097847, -76.3830638 36.8097836))",POINT (-76.38304960000001 36.8098042),12.2,131.31970687999998,1805
,6723,701438262,,yes,,,"POLYGON ((-76.3786528 36.80926, -76.3789677 36.8092764, -76.3789573 36.8094045, -76.37864209999999 36.8093879, -76.3786528 36.80926))",POINT (-76.378805 36.8093322),400.1,4306.64055104,1806
